Song No.,1.Meter,2.No of beats,3.Beat sub-division ,4. No. of sub-beats,5.Syncopation,6.Motivic redundancy ,7.Durational variability ,8.Tonality,9. Mode,10.No. of scale degrees ,11.Hemitonicity ,12.Maximum interval size ,13.Melodic range ,14.Melodic contour ,15.Melisma ,16.Vocables,17. Number of vocal parts ,18.Rhythmic texture ,19.Harmonic interval ,20.Relative contour ,21.Phrase repetition ,22.Phrase length,23.Phrase symmetry,24.Solo/group arrangement ,25.Responsorial relationship ,26. Phrase overlap,(Cantometrics#)5. Tonal blend,6. Rhythmic blend,23. Embellishment,24. Tempo,25. Volume,26. Rubato,28. Glissando,30. Tremolo,31. Glottal shake,32. Register,33.  Vocal width,34. Nasality,35. Rasp,36. Accent,37. Enunciation,CantoCore ID No.,Other comment,Population Name,Recording source,Album Name,Track No.,Song name,Cantogroup,MDS coordinate dimension 1,MDS coordinate dimension 2
372,d,a,c,b,0,1,0,e,d,0,0,0.5,0,fc,0,1,0,,,,1,1,0.5,a,a,,,,1,0.4,0.75,1,1,1,1,0.5,0.333333333,0.5,0.25,0.5,0.75,1421,,Koryak,Lecomte (1995-2012),Siberie 4: Kamtchatka: Dance drums from the Siberian Far East,6,A capella (about beauty of a small peninsula),yellow,-0.102384779,0.06201376
373,b,,,,,0.5,0.5,e,d,0,0,0,0,ea,1,1,0,,,,0.5,0.5,0.5,a,a,,,,0.5,0.8,0.75,0.333333333,0.333333333,1,0.5,0.5,0,0.25,0.25,0.25,0.5,1539,,Koryak,Lecomte (1995-2012),Siberie 4: Kamtchatka: Dance drums from the Siberian Far East,7,A capella (about fly agaric and reindeer),green,0.095935819,0.111915728
374,ba,,,,,0.5,0,ac,,,0,0.5,0,f,0,0,0,,,,0,1,0.5,a,a,,,,1,0.6,0.75,0.666666667,0.333333333,1,1,0.5,0,0.25,0.25,0.25,0.25,1462,,Koryak,Lecomte (1995-2012),Siberie 4: Kamtchatka: Dance drums from the Siberian Far East,8,A capella (excerpt from Great Raven cycle),green,0.068215556,0.127813329
375,d,a,c,a,0,1,0,e,a,0,0,0.5,0,e,0,0.5,0,,,,1,0,0,a,a,,,,0.75,0.8,0.5,1,0.666666667,1,1,0.75,0.333333333,0.75,0.25,0.5,0.5,1855,,Koryak,Lecomte (1995-2012),Siberie 4: Kamtchatka: Dance drums from the Siberian Far East,9,Vocals and jajar frame drum (about fishing),red,-0.161973209,0.0654386
376,a,,,,,0,0.5,e,d,0.5,0,0.5,0,ef,0,1,0,,,,1,1,0,a,a,,,,0.75,,0,,1,0.5,0.5,1,0.333333333,0.75,0.25,1,0.75,1339,,Koryak,Lecomte (1995-2012),Siberie 4: Kamtchatka: Dance drums from the Siberian Far East,10,A capella (funeral song),green,0.055664461,0.12813283
377,d,a,c,a,1,1,0,ea,a,0,0.5,0.5,0,af,0,1,0.5,b,,b,1,0,0,ad,c,1,,,1,0.6,0.5,1,0.666666667,1,1,0.5,0,0.25,0,0.25,1,1516,,Koryak,Lecomte (1995-2012),Siberie 4: Kamtchatka: Dance drums from the Siberian Far East,11,A capella (competition song),red,-0.275711863,0.042188063
378,d,a,c,a,1,1,0,cae,a,0,0,0.5,0,a,0,1,0.5,b,,b,1,0,0,d,c,1,,0.8,1,0.6,0.25,1,0.333333333,1,0.5,0.25,0,0,0,0.25,1,1557,,Koryak,Lecomte (1995-2012),Siberie 4: Kamtchatka: Dance drums from the Siberian Far East,12,A capella (lullaby) (knylju),red,-0.315392328,0.023944216
379,d,a,c,a,1,1,0,a,,,,,,f,0,1,0.5,b,,b,1,0,0,d,c,1,0.25,1,0,0.6,0.5,1,0.333333333,1,0,0.5,0,0.25,0,0,0,1335,,Koryak,Lecomte (1995-2012),Siberie 4: Kamtchatka: Dance drums from the Siberian Far East,13,A capella (about ducks),red,-0.343955196,-0.09638835
380,d,a,b,,,1,0,ea,d,0,0,0.5,0,a,0.5,1,0,,,,0,0,0,a,a,,,,0.5,0.6,0.5,1,0.666666667,0.5,0,0,0.666666667,0.75,0.25,0.75,1,1318,,Koryak,Lecomte (1995-2012),Siberie 4: Kamtchatka: Dance drums from the Siberian Far East,14,Vocals and jajar frame drum (for calling song when she misses him),yellow,-0.101138525,0.159404783
381,d,a,b,,,0.5,0.5,ea,a,0,0,0.5,0,ad,0,1,0,,,,0,0,0.5,a,a,,,,0.75,0.6,0.25,1,0.333333333,0.5,0,0.75,0,0.5,0.25,0.5,0.75,1549,,Koryak,Lecomte (1995-2012),Siberie 4: Kamtchatka: Dance drums from the Siberian Far East,15,Vocals and jajar frame drum (for kholo celebration)),yellow,-0.052777602,0.162716634
382,d,a,b,,,1,0.5,eb,a,0,0,0.5,0.5,fd,0,1,0,,,,1,0.5,0,a,a,,,,0.75,0.8,0.5,1,0.666666667,1,0.5,0.5,0.333333333,0.5,0.25,0.25,0.75,1717,,Koryak,Lecomte (1995-2012),Siberie 4: Kamtchatka: Dance drums from the Siberian Far East,16,Vocals and jajar frame drum (about the tundra),yellow,-0.108120277,0.054403974
383,d,a,c,b,1,1,0.5,ea,a,0.5,0,0.5,0.5,ec,0,1,0,,,,1,0,0,a,a,,,,0.75,0.8,0.5,1,0.666666667,0.5,0.5,0.5,0.333333333,0.5,0.25,0.25,0.75,1561,,Koryak,Lecomte (1995-2012),Siberie 4: Kamtchatka: Dance drums from the Siberian Far East,17,Vocals and jajar frame drum (invitation to dancing),yellow,-0.114020793,0.053085805
384,db,a,b,,,0.5,0.5,ea,d,0.5,0,0.5,0,f,0,1,0,,,,0.5,0.5,1,a,a,,,,0.5,0.8,0.5,0.666666667,0.666666667,1,0.5,0.5,0.333333333,0.5,0.25,0.75,0.75,1822,,Koryak,Lecomte (1995-2012),Siberie 4: Kamtchatka: Dance drums from the Siberian Far East,18,Vocals and jajar frame drum (personal song for children),green,0.030452202,0.072937849
385,d,a,c,a,0,0.5,0.5,e,d,0.5,0,0.5,0.5,cf,0.5,1,0,,,,0.5,1,1,a,a,,,,0.5,0.6,0.75,1,0.666666667,1,0.5,0.25,0,0.5,0.25,0.5,0.75,1719,,Koryak,Lecomte (1995-2012),Siberie 4: Kamtchatka: Dance drums from the Siberian Far East,19,Vocals and jajar frame drum (personal song about dreams and nature),blue,0.010095912,-0.056043193
386,d,a,c,b,0,1,0,e,d,0.5,0.5,0.5,0,ce,0,1,0,,,,0.5,0.5,0.5,a,a,,,,0.75,0.6,0.75,1,0.666666667,1,1,0.75,0.666666667,0.75,0.5,0.75,1,1400,,Koryak,Lecomte (1995-2012),Siberie 4: Kamtchatka: Dance drums from the Siberian Far East,20,Vocals and jajar frame drum (personal song about the tundra),yellow,-0.092718582,0.062529208
387,d,a,c,a,0.5,0.5,0,e,d,0,0,0,0.5,ae,0,1,0,,,,0.5,0.5,0.5,a,a,,,,0.75,0.6,0.5,1,0.333333333,1,1,0.75,0.333333333,0.25,0.25,0.25,0.75,1550,,Koryak,Lecomte (1995-2012),Siberie 4: Kamtchatka: Dance drums from the Siberian Far East,21,Vocals and jajar frame drum (about life),yellow,-0.084058319,0.075481651
388,d,a,c,a,1,0.5,0.5,ea,d,0,0,0.5,0.5,fa,0,1,0,,,,0.5,1,0.5,a,a,,,,0.5,0.4,0.75,1,0.666666667,1,1,0.5,0.666666667,0.75,0.75,0.5,0.5,1344,,Koryak,Lecomte (1995-2012),Siberie 4: Kamtchatka: Dance drums from the Siberian Far East,22,Vocals and jajar frame drum (evokes and imitates movements of sea mammals),yellow,-0.01912503,0.027814858
389,d,a,c,a,0,0.5,0.5,e,d,0.5,0.5,0.5,0,ef,0,1,0,,,,0.5,0.5,0.5,a,a,,,,0.75,0.6,0.75,1,0.666666667,1,0.5,0.5,0.333333333,0.75,0.75,0.5,0.75,1346,,Koryak,Lecomte (1995-2012),Siberie 4: Kamtchatka: Dance drums from the Siberian Far East,23,Vocals and jajar frame drum (personal song),yellow,-0.043614309,0.008590382
390,d,a,c,a,0,0.5,0.5,e,e,0.5,0,0.5,0,fe,0.5,1,0,,,,0.5,0.5,0.5,a,a,,,,0.75,0.6,0.75,1,1,1,0.5,0.75,0.333333333,0.5,0.25,0.25,1,1464,,Koryak,Lecomte (1995-2012),Siberie 4: Kamtchatka: Dance drums from the Siberian Far East,24,Vocals and jajar frame drum (lullaby),yellow,-0.045373684,-0.010378111
391,d,a,b,,,0.5,0,e,a,0.5,0.5,0.5,0,a,0,1,0,,,,0.5,0.5,0,a,a,,,,0.5,0.8,0.5,0.666666667,0,1,0.5,0.5,0.333333333,0.5,0.5,0.75,0.75,1345,,Koryak,Lecomte (1995-2012),Siberie 4: Kamtchatka: Dance drums from the Siberian Far East,25,Vocals and jajar frame drum (about reindeer stock),yellow,-0.050136286,0.091541044
392,d,a,c,a,0,1,0.5,ea,a,0,0,0.5,0,f,0.5,1,0,,,,0.5,0.5,0.5,a,a,,,,0.75,0.6,0.5,1,0.666666667,1,1,0.75,0.333333333,0.5,0.25,0.5,0.75,1435,,Koryak,Lecomte (1995-2012),Siberie 4: Kamtchatka: Dance drums from the Siberian Far East,27,Vocals and a small jajar frame drum for children (about the time reindeers foal),yellow,-0.07934808,0.037639734
393,d,b,c,a,0,1,0.5,ea,d,0,0,0.5,0,af,0.5,1,0,,,,0.5,1,1,a,a,,,,0.75,0.4,0.25,1,0.666666667,1,0.5,1,0.333333333,0.5,0.25,0.5,0.75,1333,,Koryak,Lecomte (1995-2012),Siberie 4: Kamtchatka: Dance drums from the Siberian Far East,28,"Vocals and zja zjaj frame drum (about working in the tundra, caring for reindeer) ",yellow,-0.035865996,0.06145588
394,b,,,,,0.5,0.5,ea,d,0,0,0.5,0,fc,0,1,0,,,,0,0.5,0.5,a,a,,,,0.5,0.6,0.25,0.666666667,0.666666667,1,1,0.75,0.333333333,0.5,0.5,0.75,0.75,1641,,Koryak,Lecomte (1995-2012),Siberie 4: Kamtchatka: Dance drums from the Siberian Far East,29,Vocals and zja zjaj frame drum (about the tundra and children working there) ,green,0.052415012,0.159908975
395,db,a,c,a,0.5,0.5,0,e,d,0,0,0.5,0,f,1,0.5,0,,,,0,0.5,0.5,a,a,,,,0.5,0.6,0.5,1,0.333333333,0.5,0.5,0.5,0.333333333,0.5,0.25,0.5,0.75,1707,,Koryak,Lecomte (1995-2012),Siberie 4: Kamtchatka: Dance drums from the Siberian Far East,30,"Vocals and zja zjaj frame drum (about rivers, lifeÉ) ",green,0.015550909,0.04777243
396,d,b,b,,,0.5,0.5,e,a,0,0.5,0.5,0,f,0,1,0,,,,1,1,0.5,a,a,,,,0.75,0.6,0.5,1,0.666666667,1,0.5,0.75,0.333333333,0.5,0.25,0.5,1,1509,,Koryak,Lecomte (1995-2012),Siberie 4: Kamtchatka: Dance drums from the Siberian Far East,32,Vocals and zja zjaj frame drum (about nature) ,green,-0.009187388,0.096249853
397,d,a,c,a,0,1,0.5,e,e,0.5,0,0.5,0,fc,0,0,0,,,,1,0.5,0,a,a,,,,0.75,0.4,0.25,0.666666667,1,1,1,0.5,0.333333333,0.75,0.25,0.75,0.25,1423,Berceuse (Lullaby) [a cappella singing],Nanai,Lecomte (1995-2012),Siberie 5: Shamanic and daily songs from the Amur basin,1,Lullaby (a cappella singing),yellow,-0.103718297,0.004138249
398,d,a,c,a,0,1,0.5,e,e,0.5,0,0.5,0,ce,0,0.5,0,,,,1,0,0,a,a,,,,1,0.8,0.5,1,1,1,1,0.5,0.333333333,0.5,0.5,0.25,0.25,1514,_er _er _ermanda [a cappella singing],Nanai,Lecomte (1995-2012),Siberie 5: Shamanic and daily songs from the Amur basin,2,Cer Cer Cermanda (a cappella singing),red,-0.151238775,-0.000856743
399,ba,,,,,1,0.5,ae,e,0,0,0,0,fc,0,0.5,0,,,,1,0,0,a,a,,,,0.75,0.8,0.25,0.333333333,0.333333333,1,1,0.5,0.333333333,0.5,0.5,0.5,0.25,1742,Tjang Tjang [a cappella singing],Nanai,Lecomte (1995-2012),Siberie 5: Shamanic and daily songs from the Amur basin,3,Tjang Tjang (a cappella singing),yellow,-0.04798773,0.152540737
400,d,a,c,a,0,1,0,ea,d,0.5,0.5,0.5,0.5,ef,0,0,0,,,,0.5,0,0,da,b,0,1,1,1,0.8,0.5,1,0.666666667,0.5,1,0.25,0.666666667,0.75,1,0.5,0,1726,Chant De Cueillette (Crop song) [a cappella singing],Nanai,Lecomte (1995-2012),Siberie 5: Shamanic and daily songs from the Amur basin,4,Crop Song (duet a cappella singing),red,-0.161867991,-0.109358742
401,b,,,,,1,0.5,e,e,0.5,0,0,0,ce,0,0.5,0,,,,0.5,0.5,0,a,a,,,,1,0.4,0.5,1,1,0,1,0.5,0.666666667,0.75,0.75,0.5,0.25,1524,Chanson Sur La Petite Tante (Song about the small aunt),Nanai,Lecomte (1995-2012),Siberie 5: Shamanic and daily songs from the Amur basin,5,Song About the Small Aunt,yellow,-0.027556639,0.080570348
402,ba,,,,,0.5,0.5,ea,a,0.5,0,1,0.5,e,0.5,0,0,,,,0,0,0,a,a,,,,0.75,0.8,0.5,0.666666667,0.666666667,1,1,1,0,0.25,0.25,0.75,0.5,1485,Chanson Pour L'arrivee D'une Jeune Fille (Song for the arrival of a young maid) [a cappella song],Nanai,Lecomte (1995-2012),Siberie 5: Shamanic and daily songs from the Amur basin,6,Song for the arrival of a young maid (a cappella song),green,0.062010781,0.067637748
403,d,a,c,b,0,0.5,0.5,ea,d,0,0.5,0,0,ca,0.5,0.5,0,,,,0.5,0,0,a,a,,,,0.75,0.4,0.25,0.666666667,0.666666667,1,1,0.75,0.333333333,0.25,0.25,0.5,0.5,1525,Chant Chamanique Avec Tambour (Shamanic song with u_tu drum),Nanai,Lecomte (1995-2012),Siberie 5: Shamanic and daily songs from the Amur basin,7,Shamanic song with untu drum,yellow,-0.070283027,0.079468038
404,b,,,,,0.5,0,e,d,0.5,0,0.5,0.5,c,0,1,0,,,,0.5,1,0.5,a,a,,,,0.75,0.4,0.5,0.666666667,1,1,0.5,0.5,0.333333333,0.75,0.5,0.75,0.75,1379,Chant Chamanique Acec Tambour (Shamanic song with u_tu drum),Nanai,Lecomte (1995-2012),Siberie 5: Shamanic and daily songs from the Amur basin,8,Shamanic song with untu drum,green,0.059872483,0.076186378
405,b,,,,,0.5,0,ea,d,0.5,0,0.5,0.5,ac,0,0.5,0,,,,0,0.5,0.5,a,a,,,,0.75,0.6,0.5,0.666666667,1,0.5,0.5,0.25,0.666666667,0.75,0.25,0.5,0.75,1327,Chant Chamanique Avec Tambour (Shamanic song with u_tu drum),Nanai,Lecomte (1995-2012),Siberie 5: Shamanic and daily songs from the Amur basin,9,Shamanic song with untu drum,green,0.055746471,0.127641689
406,d,a,c,a,0,1,0,e,d,0.5,0,0,0.5,f,0,0,0,,,,0.5,0.5,0,a,a,,,,1,0.4,0.5,1,1,1,1,0.5,0.333333333,0.5,0.25,0.5,0.5,1408,Kuilenka [a cappella singing],Nanai,Lecomte (1995-2012),Siberie 5: Shamanic and daily songs from the Amur basin,10,Kuilenka (a cappella singing),yellow,-0.101684662,-0.006009578
407,b,,,,,0.5,0.5,e,e,0.5,0,1,0.5,ef,0,0,0,,,,0.5,0.5,0.5,a,a,,,,1,0.6,0.5,0.666666667,1,1,1,0.5,0.333333333,0.5,0.75,0.5,0.25,1341,Une Ile (An island) [a cappella singing],Nanai,Lecomte (1995-2012),Siberie 5: Shamanic and daily songs from the Amur basin,11,An Island (a cappella singing),green,0.052113609,0.002771709
408,bc,b,c,a,0,1,0.5,e,d,1,0.5,0.5,1,ce,0,0,0,,,,0.5,0,0,a,a,,,,0.75,0.6,0.25,0.666666667,1,1,1,0.75,0.666666667,0.5,0.75,0.5,0.25,1315,Legende Chantee (Sung legend),Nanai,Lecomte (1995-2012),Siberie 5: Shamanic and daily songs from the Amur basin,12,Sung legend (a cappella singing),yellow,-0.039063681,0.005993191
409,d,a,c,b,0,1,0.5,e,e,0.5,0,0.5,0.5,fe,0,0,0,,,,0.5,0.5,0,a,a,,,,1,0.4,0.5,1,1,1,1,0.5,0.333333333,0.5,0.5,0.5,0.25,1691,Chant (Song),Nanai,Lecomte (1995-2012),Siberie 5: Shamanic and daily songs from the Amur basin,13,Song,yellow,-0.066619766,-0.046221226
410,d,a,c,a,0,1,0,ea,d,0.5,0,1,0.5,e,0,0,0,,,,1,0,0,a,a,,,,0.75,0.6,0.5,1,0.666666667,1,1,0.5,0.333333333,0.5,0.25,0.5,0.25,1767,Chant Pour La Cuiellette Des Baies (Song for berry picking) [a cappella singing],Oroc,Lecomte (1995-2012),Siberie 5: Shamanic and daily songs from the Amur basin,15,Song for Berry Picking (a cappella singing),red,-0.146564174,0.007641141
411,b,,,,,1,0.5,e,d,0.5,0.5,0,0,c,0,0.5,0,,,,1,0,0,a,a,,,,1,0.6,0.25,0.666666667,1,1,1,0.5,0.666666667,0.75,0.75,0.75,0.5,1831,Berceuse (Lullaby) [a cappella singing],Oroc,Lecomte (1995-2012),Siberie 5: Shamanic and daily songs from the Amur basin,16,Lullaby (a cappella singing),yellow,-0.058794649,0.122685617
412,d,a,c,a,0,1,0.5,e,e,0.5,0.5,0.5,0.5,f,0,0.5,0,,,,1,0.5,0,a,a,,,,1,0.6,0.5,0.666666667,1,1,1,0.5,0.333333333,0.5,0.5,0.5,0.25,1455,Tunmin [a cappella singing],Oroc,Lecomte (1995-2012),Siberie 5: Shamanic and daily songs from the Amur basin,17,Tunmin (a cappella singing),yellow,-0.10284876,-0.042956837
413,db,a,c,b,0,1,0.5,e,e,0.5,0,0.5,0.5,f,0,1,0,,,,0.5,0.5,0.5,a,a,,,,0.75,0.6,0.5,0.666666667,1,0.5,1,0.5,0.333333333,0.75,0.5,0.5,0.5,1378,Berceuse (A cappella lullaby),Udege,Lecomte (1995-2012),Siberie 5: Shamanic and daily songs from the Amur basin,19,A cappella lullaby,yellow,-0.031847269,0.003211275
414,d,a,c,a,0,1,0.5,e,d,0.5,1,0.5,0,e,0,0.5,0,,,,0.5,0,0,a,a,,,,0.75,0.6,0.5,0.666666667,0.666666667,0.5,0.5,0.75,0.333333333,0.5,0.5,0.5,0.25,1511,Kilae (the seagull),Udege,Lecomte (1995-2012),Siberie 5: Shamanic and daily songs from the Amur basin,20,Kilae (the seagull),yellow,-0.096576325,0.018904323
415,d,a,c,a,0,1,0,e,e,0,0,0.5,0,ae,0,0.5,0,,,,1,0,0,a,a,,,,1,0.6,0.5,1,1,1,1,0.75,0.333333333,0.5,0.5,0.5,0.25,1342,Chant Bjato (Bjato (about the bear)) [a cappella singing],Udege,Lecomte (1995-2012),Siberie 5: Shamanic and daily songs from the Amur basin,25,Bjato (about the bear) (a cappella singing),red,-0.176343508,0.048458771
416,b,,,,,1,0.5,e,e,0.5,0,0.5,0.5,fe,0,0,0,,,,0.5,0.5,0.5,a,a,,,,1,0.6,0.5,0.666666667,1,1,1,0.5,0.333333333,0.5,0.25,0.5,0.25,1454,Chant NelemdiDJa (Nelèmdidja song (Lullaby)),Udege,Lecomte (1995-2012),Siberie 5: Shamanic and daily songs from the Amur basin,26,Nelemdidja song (lullaby),yellow,0.020332304,0.012610996
417,d,a,c,a,0,1,0,e,d,0,0,0.5,0,e,0,1,0,,,,1,0,0,a,a,,,,0.75,0.6,0.25,0.666666667,0.666666667,1,1,0.75,0,0.5,0.25,0.5,0.5,1797,Chant Chamanique Et Tambour (Shamanic song with u_tu drum),Ulc,Lecomte (1995-2012),Siberie 5: Shamanic and daily songs from the Amur basin,27,Shamanic song with untu drum,red,-0.160766853,0.081085598
418,bd,a,c,a,0,0.5,0.5,ea,a,0.5,0,0.5,0.5,e,0.5,1,0,,,,0.5,0,0.5,a,a,,,,0.5,0.6,0.5,0.666666667,0.666666667,0.5,0,0.75,0,0.5,0,0.25,0.75,1806,Chant Chamanique Avec Tambour (Shamanic song with u_tu drum),Ulc,Lecomte (1995-2012),Siberie 5: Shamanic and daily songs from the Amur basin,28,Shamanic song with untu drum,yellow,-0.017590116,0.023201699
419,d,a,c,a,0,1,0.5,e,e,0.5,0,0.5,0.5,f,0.5,0,0,,,,0.5,0.5,0,a,a,,,,1,0.4,0.5,1,1,1,1,0.75,0.333333333,0.5,0.5,0.5,0.5,1336,Chant De Cueillette Des Baies (Berry picking song) [a cappella singing],Ulc,Lecomte (1995-2012),Siberie 5: Shamanic and daily songs from the Amur basin,29,Berry Picking Song (a cappella singing),yellow,-0.070672598,-0.056708134
420,b,,,,,1,0,e,d,0.5,0,1,0.5,fc,0.5,0.5,0,,,,0.5,0.5,0.5,a,a,,,,0.75,0.6,0.5,0.666666667,0.666666667,1,0.5,0.75,0.333333333,0.5,0.25,0.5,0.5,1533,Chant Chamanique Et Tambour (Shamanic song and u_tu drum),Ulc,Lecomte (1995-2012),Siberie 5: Shamanic and daily songs from the Amur basin,31,Shamanic song and untu drum,green,0.035187137,0.04587122
421,ba,,,,,0,1,e,d,0.5,0,0.5,0.5,fc,0.5,0,0,,,,0,0,0.5,a,a,,,,0.5,0.4,0.25,0.333333333,0.666666667,1,0.5,0.25,0.666666667,0.5,0.5,0.75,0.5,1357,Chant A Cappella,Nivkh,Lecomte (1995-2012),Siberie 6: Sakhalin: Vocal and instrumental music,1,A cappella song (welcoming foreign visitors),green,0.166897425,0.046030038
422,a,,,,,0,0.5,e,a,0.5,0,0.5,0,ef,0,0,0,,,,0,0.5,0.5,a,a,,,,0.75,,0.25,,0.666666667,1,0.5,0.75,0,0.5,0.25,0.75,0.5,1739,Chant A Cappella,Nivkh,Lecomte (1995-2012),Siberie 6: Sakhalin: Vocal and instrumental music,3,A cappella song (about summer and winter),green,0.106857971,0.088749247
423,b,,,,,0.5,1,e,a,0.5,0,0,0,fe,0.5,0.5,0,,,,0.5,0.5,0,a,a,,,,0.75,0.4,0.25,0.666666667,1,0.5,0.5,0.5,0.333333333,0.5,0.75,0.5,0.25,1578,Chant A Cappella,Nivkh,Lecomte (1995-2012),Siberie 6: Sakhalin: Vocal and instrumental music,10,A cappella song (about children),green,0.078573269,0.030434441
424,ab,,,,,0.5,0.5,e,d,0,0,0.5,0,e,0,0.5,0,,,,1,1,0.5,a,a,,,,0.5,0.4,0.25,0.333333333,0.666666667,0.5,0,0.75,0.333333333,0.5,0.25,0.75,0.75,1348,Chant A Cappella,Nivkh,Lecomte (1995-2012),Siberie 6: Sakhalin: Vocal and instrumental music,11,A cappella song (about fishing),green,0.095367585,0.146958296
425,ba,,,,,1,0.5,e,d,0.5,0,1,0.5,cf,0.5,0.5,0,,,,0,1,0.5,a,a,,,,0.75,0.4,0.25,0.666666667,1,0.5,0,0.75,0.333333333,0.5,0.25,0.5,0.5,1531,Chant A Cappella,Nivkh,Lecomte (1995-2012),Siberie 6: Sakhalin: Vocal and instrumental music,12,A cappella song (about children),green,0.110445115,0.047142938
426,ba,,,,,0.5,0.5,e,a,0,0,0.5,0,fa,0.5,0.5,0,,,,0,0.5,0.5,a,a,,,,0.5,0.6,0.25,0.333333333,0.666666667,0.5,0,0.75,0,0.5,0.25,0.75,0.75,1786,Chant De Chasse,Nivkh,Lecomte (1995-2012),Siberie 6: Sakhalin: Vocal and instrumental music,13,Hunting song alkhtus,green,0.121426642,0.134889143
427,b,,,,,1,0,e,a,0,0,0.5,0,f,0.5,0,0,,,,0,1,0.5,a,a,,,,0.75,0.6,0.25,0.333333333,1,0.5,0,0.5,0.333333333,0.5,0.5,0.75,0.5,1474,Chant A Cappella,Nivkh,Lecomte (1995-2012),Siberie 6: Sakhalin: Vocal and instrumental music,14,A cappella song (about family and Bear celebration),green,0.080304551,0.096117633
428,d,a,c,a,0,1,0,a,,,,0,0,fc,0,0.5,0,,,,1,0,0,d,a,,0.5,0.8,1,0.6,0.25,1,0,1,1,0.5,0.333333333,0.75,0.75,0.25,0.5,1674,Onomatop_es Et Cuillères,Nivkh,Lecomte (1995-2012),Siberie 6: Sakhalin: Vocal and instrumental music,16,Onomatopeas and wooden spoons,red,-0.2968783,0.02264498
429,ab,,,,,0.5,0.5,ea,a,0,0,0.5,0,fa,1,1,0,,,,1,1,0,a,a,,,,0.5,,0.5,,1,1,0,0,0,0,0.25,0.75,1,1420,Alt_rateur De Voix,Nivkh,Lecomte (1995-2012),Siberie 6: Sakhalin: Vocal and instrumental music,17,Voice modifier kal'ni,green,0.080486513,0.094796747
430,a,,,,,0,0,ea,a,0,0,0,0,a,0.5,0,0,,,,0,1,0,a,a,,,,0.5,,0.5,,0.666666667,0.5,0,0.75,0.333333333,0.5,0.25,0.75,0.5,1540,Nastus,Nivkh,Lecomte (1995-2012),Siberie 6: Sakhalin: Vocal and instrumental music,18,Nastus,green,0.104094407,0.202156756
431,a,,,,,0,0,ca,,,0,0.5,0.5,fa,1,1,0.5,ac,0,b,1,1,0,d,a,,0.5,0.2,0,,0.75,,0.333333333,1,0,0,0,0,0,0.5,1,1519,Duo D'alt_rateurs De Voix,Nivkh,Lecomte (1995-2012),Siberie 6: Sakhalin: Vocal and instrumental music,19,Kal'ni voice modifiers. Duo.,green,0.059651915,0.024192381
432,b,,,,,0.5,0.5,e,e,0.5,0,0.5,0,fe,0.5,0.5,0,,,,0.5,0.5,0.5,a,a,,,,0.5,0.6,0.5,0.333333333,1,0,0,0.75,0.333333333,0.5,0.5,0.5,0.25,1473,Chant A Capella,Nivkh,Lecomte (1995-2012),Siberie 6: Sakhalin: Vocal and instrumental music,20,A cappella song (about guests),green,0.107039879,0.034450888
433,a,,,,,0,1,ea,d,0,0,0.5,0,fa,0,1,0,,,,0,1,0.5,a,a,,,,0.5,,0.25,,1,0.5,0,0.75,0.666666667,0.5,0.25,0.75,0.5,1426,Chant A Capella,Nivkh,Lecomte (1995-2012),Siberie 6: Sakhalin: Vocal and instrumental music,21,A cappella song (about singing),green,0.143355874,0.190548141
434,ba,,,,,0.5,0.5,e,a,0,0.5,0.5,0,af,0.5,0.5,0,,,,0.5,1,0.5,a,a,,,,0.5,0.6,0.25,0.333333333,0.333333333,0,0,0.75,0.333333333,0.5,0.25,0.75,0.75,1403,Le Bouleau - Chant A Cappella,Nivkh,Lecomte (1995-2012),Siberie 6: Sakhalin: Vocal and instrumental music,22,The birch tree (a cappella song),green,0.131635603,0.132225589
435,a,,,,,0,0.5,e,a,0,0,0,0,a,0,0,0,,,,0,0.5,0.5,a,a,,,,0.75,,0.25,,0.666666667,0,0.5,0.75,0.333333333,0.75,0.25,0.75,0.75,1383,Berceuse,Nivkh,Lecomte (1995-2012),Siberie 6: Sakhalin: Vocal and instrumental music,23,Lullaby,green,0.096907464,0.225415767
436,ab,,,,,0,1,ea,a,0,0.5,0.5,0,af,0,0.5,0,,,,0,0.5,0.5,a,a,,,,0.5,0.4,0.5,0.333333333,0.333333333,0,0,0.25,0,0.75,0,0.75,0.75,1356,Chant Pour La Cueillette Des Baies,Nivkh,Lecomte (1995-2012),Siberie 6: Sakhalin: Vocal and instrumental music,24,Song for berry picking,green,0.148200418,0.189673119
437,a,,,,,0,0.5,ea,a,0,0.5,0.5,0,a,0.5,0.5,0,,,,0,1,0.5,a,a,,,,0.75,,0.5,,0.333333333,0,0,0.75,0.333333333,0.5,0.25,0.75,0.75,1410,Chant De Chasse,Nivkh,Lecomte (1995-2012),Siberie 6: Sakhalin: Vocal and instrumental music,25,Alkhtud hunting song,green,0.145723549,0.197006817
438,a,,,,,0,1,eac,a,0,0,0.5,0,af,0,1,0,,,,0,1,0.5,a,a,,,,0.5,,0.5,,0.666666667,0,0,0.75,0,0.5,0.25,0.75,0.75,1585,Chant Sans Paroles,Nivkh,Lecomte (1995-2012),Siberie 6: Sakhalin: Vocal and instrumental music,26,Wordless song,green,0.149163609,0.199328558
